year,race_name,driverRef,constructor_name,grid,qualifying_pos,grid_penalty,positionOrder,driver_points_pre_race,driver_pos_pre_race,driver_form,team_form,constructor_points_pre_race,top3,top10,DNF,pos_gain_loss,circuit_passability,driver_track_history,team_history
2023,Saudi Arabian Grand Prix,norris,McLaren,19,19,0,17,0.0,17.0,17.0,18.5,0.0,0,0,0,2,-0.5,8.5,10.74390243902439
2023,Saudi Arabian Grand Prix,bottas,Alfa Romeo,14,14,0,18,4.0,8.0,8.0,12.0,4.0,0,0,0,-4,-0.5,9.0,13.21951219512195
2023,Saudi Arabian Grand Prix,albon,Williams,17,17,0,19,1.0,10.0,10.0,11.0,1.0,0,0,1,-2,-0.5,14.0,14.699186991869919
2023,Saudi Arabian Grand Prix,stroll,Aston Martin,5,6,-1,20,8.0,6.0,6.0,4.5,38.0,0,0,1,-15,-0.5,12.0,11.943181818181818
2023,Australian Grand Prix,max_verstappen,Red Bull,1,1,0,1,44.0,1.0,1.5882352941176472,1.5,87.0,1,1,0,0,-0.1875,8.0,6.686991869918699
2023,Australian Grand Prix,hamilton,Mercedes,3,3,0,2,20.0,5.0,5.0,5.117647058823529,38.0,1,1,0,1,-0.1875,2.5,4.199186991869919
2023,Australian Grand Prix,alonso,Aston Martin,4,4,0,3,30.0,3.0,3.0,8.617647058823529,38.0,1,1,0,1,-0.1875,12.0,11.943181818181818
2023,Australian Grand Prix,stroll,Aston Martin,6,6,0,4,8.0,7.0,14.235294117647058,8.617647058823529,65.0,0,1,0,2,-0.1875,12.75,11.943181818181818
2023,Australian Grand Prix,perez,Red Bull,0,20,-20,5,43.0,2.0,1.411764705882353,1.5,123.0,0,1,0,-5,-0.1875,8.25,6.686991869918699
2023,Australian Grand Prix,norris,McLaren,13,13,0,6,0.0,20.0,17.0,17.029411764705884,0.0,0,1,0,7,-0.1875,8.5,10.74390243902439
2023,Australian Grand Prix,hulkenberg,Haas F1 Team,10,10,0,7,0.0,15.0,13.23529411764706,12.235294117647058,1.0,0,1,0,3,-0.1875,8.333333333333334,14.390243902439025
2023,Australian Grand Prix,piastri,McLaren,16,16,0,8,0.0,19.0,17.058823529411764,17.029411764705884,12.0,0,1,0,8,-0.1875,12.0,10.74390243902439
2023,Australian Grand Prix,zhou,Alfa Romeo,17,17,0,9,0.0,17.0,14.235294117647058,14.058823529411764,4.0,0,1,0,8,-0.1875,11.0,13.21951219512195
2023,Australian Grand Prix,tsunoda,AlphaTauri,12,12,0,10,0.0,14.0,11.0,12.5,0.0,0,1,0,2,-0.1875,15.0,11.926229508196721
2023,Australian Grand Prix,bottas,Alfa Romeo,0,19,-19,11,4.0,9.0,13.882352941176473,14.058823529411764,6.0,0,0,0,-11,-0.1875,5.0,13.21951219512195
2023,Australian Grand Prix,sainz,Ferrari,5,5,0,12,20.0,4.0,5.176470588235294,8.558823529411764,26.0,0,0,0,-7,-0.1875,14.5,6.703252032520325
2023,Australian Grand Prix,gasly,Alpine F1 Team,9,9,0,13,4.0,11.0,9.0,10.558823529411764,8.0,0,0,1,-4,-0.1875,12.666666666666666,10.056818181818182
